T1        	/home/sam/phinet/data/test/preprocess/T1/1327_1a_MR_T1.nii.gzConfidences:  0.01, 99.97,  0.02
T2        	/home/sam/phinet/data/test/preprocess/T2/1573_01.nii.gzConfidences:  0.28,  0.81, 98.91
T1        	/home/sam/phinet/data/test/preprocess/T1/1411_1a_MR_T1.nii.gzConfidences:  0.01, 99.95,  0.05
T1        	/home/sam/phinet/data/test/preprocess/T1/06-3991_2014-04-18_MR_MPRAGE.nii.gzConfidences:  1.12, 96.84,  2.04
T1        	/home/sam/phinet/data/test/preprocess/T1/1453_1a_MR_T1.nii.gzConfidences:  0.00, 99.97,  0.03
T1        	/home/sam/phinet/data/test/preprocess/T1/06-4011_2014-01-25_MR_MPRAGE.nii.gzConfidences:  0.12, 99.68,  0.20
T1        	/home/sam/phinet/data/test/preprocess/T1/1509_04_0003_sag_bravo_t1_iso_N4_N4.nii.gzConfidences:  0.02, 99.91,  0.07
T2        	/home/sam/phinet/data/test/preprocess/T2/1508_02.nii.gzConfidences:  0.01,  0.24, 99.75
T1        	/home/sam/phinet/data/test/preprocess/T1/1488_2a_MR_T1.nii.gzConfidences:  0.02, 99.95,  0.04
T2        	/home/sam/phinet/data/test/preprocess/T2/2120_01_T2.nii.gzConfidences:  0.02,  1.10, 98.88
T1        	/home/sam/phinet/data/test/preprocess/T1/1153_2a_MR_T1.nii.gzConfidences:  0.01, 99.96,  0.03
T1        	/home/sam/phinet/data/test/preprocess/T1/1357_1a_MR_T1.nii.gzConfidences:  0.00, 99.98,  0.01
T2        	/home/sam/phinet/data/test/preprocess/T2/06-2921_2014-04-25_T2_reg.nii.gzConfidences:  0.02,  0.84, 99.14
T1        	/home/sam/phinet/data/test/preprocess/T1/1253_1a_MR_T1.nii.gzConfidences:  0.00, 99.96,  0.04
T1        	/home/sam/phinet/data/test/preprocess/T1/1397_1a_MR_T1.nii.gzConfidences:  0.03, 99.91,  0.06
T2        	/home/sam/phinet/data/test/preprocess/T2/06-2252_2013-06-27_T2_reg.nii.gzConfidences:  0.05,  0.16, 99.79
T2        	/home/sam/phinet/data/test/preprocess/T2/2057_01_T2.nii.gzConfidences:  0.04,  1.78, 98.18
T1        	/home/sam/phinet/data/test/preprocess/T1/1043_2a_MR_T1.nii.gzConfidences:  0.01, 99.97,  0.02
T1        	/home/sam/phinet/data/test/preprocess/T1/1440_2a_MR_T1.nii.gzConfidences:  0.01, 99.92,  0.07
T1        	/home/sam/phinet/data/test/preprocess/T1/1487_2a_MR_T1.nii.gzConfidences:  0.00, 99.99,  0.01
T1        	/home/sam/phinet/data/test/preprocess/T1/1345_1a_MR_T1.nii.gzConfidences:  0.01, 99.95,  0.05
T2        	/home/sam/phinet/data/test/preprocess/T2/2095_01_T2.nii.gzConfidences:  0.01,  1.80, 98.19
T1        	/home/sam/phinet/data/test/preprocess/T1/1531_2a_MR_T1.nii.gzConfidences:  0.01, 99.95,  0.04
T1        	/home/sam/phinet/data/test/preprocess/T1/1495_1a_MR_T1.nii.gzConfidences:  0.04, 99.43,  0.53
T1        	/home/sam/phinet/data/test/preprocess/T1/1251_1a_MR_T1.nii.gzConfidences:  0.00, 99.99,  0.01
T2        	/home/sam/phinet/data/test/preprocess/T2/06-3931_2015-10-13_MR_T2_reg.nii.gzConfidences:  0.01,  0.44, 99.55
T1        	/home/sam/phinet/data/test/preprocess/T1/06-3814_2015-08-26_MR_MPRAGE.nii.gzConfidences:  1.13, 85.96, 12.91
T2        	/home/sam/phinet/data/test/preprocess/T2/1543_02.nii.gzConfidences:  0.28, 16.46, 83.26
T1        	/home/sam/phinet/data/test/preprocess/T1/06-3931_2015-10-13_MR_MPRAGE.nii.gzConfidences:  0.12, 98.68,  1.20
T2        	/home/sam/phinet/data/test/preprocess/T2/1484_90d_MR_0003_3DT2SPACET2_SPC_SAG_P2_ISO_reg.nii.gzConfidences:  0.04,  0.00, 99.96
T1        	/home/sam/phinet/data/test/preprocess/T1/1516_02_0003_sag_bravo_t1_iso_N4_N4.nii.gzConfidences:  0.03, 99.77,  0.20
T1        	/home/sam/phinet/data/test/preprocess/T1/1298_1a_MR_T1.nii.gzConfidences:  0.01, 99.94,  0.05
T2        	/home/sam/phinet/data/test/preprocess/T2/1567_01.nii.gzConfidences:  0.09,  6.01, 93.90
T2        	/home/sam/phinet/data/test/preprocess/T2/1240_90d_MR_0004_3DT2SPACET2_SPC_SAG_P2_ISO_reg.nii.gzConfidences:  0.06,  0.50, 99.44
T1        	/home/sam/phinet/data/test/preprocess/T1/06-3914_2015-05-03_MR_MPRAGE.nii.gzConfidences:  1.54, 98.17,  0.29
T1        	/home/sam/phinet/data/test/preprocess/T1/1394_2a_MR_T1.nii.gzConfidences:  0.02, 99.94,  0.04
T1        	/home/sam/phinet/data/test/preprocess/T1/1524_1a_MR_T1.nii.gzConfidences:  0.01, 99.97,  0.02
T1        	/home/sam/phinet/data/test/preprocess/T1/1234_2a_MR_T1.nii.gzConfidences:  0.00, 99.99,  0.01
T1        	/home/sam/phinet/data/test/preprocess/T1/06-2244_2014-05-11_MR_MPRAGE.nii.gzConfidences:  1.76, 93.97,  4.27
T1        	/home/sam/phinet/data/test/preprocess/T1/1202_1a_MR_T1.nii.gzConfidences:  0.00, 99.99,  0.01
T2        	/home/sam/phinet/data/test/preprocess/T2/1440_90d_MR_0012_3DT2SPACET2_SPC_SAG_P2_ISO_reg.nii.gzConfidences:  0.08,  0.00, 99.92
T2        	/home/sam/phinet/data/test/preprocess/T2/2123_01_T2.nii.gzConfidences:  0.02,  0.47, 99.51
T2        	/home/sam/phinet/data/test/preprocess/T2/1591_01.nii.gzConfidences:  0.55,  4.09, 95.37
T1        	/home/sam/phinet/data/test/preprocess/T1/06-3993_2014-05-12_MR_MPRAGE.nii.gzConfidences:  2.27, 93.21,  4.52
T2        	/home/sam/phinet/data/test/preprocess/T2/06-2473_2013-07-14_T2_reg.nii.gzConfidences:  0.07,  0.05, 99.88
T1        	/home/sam/phinet/data/test/preprocess/T1/06-2044_2013-07-18_MR_MPRAGE.nii.gzConfidences:  0.51, 84.58, 14.91
