T1        	/home/sam/phinet/data/adni_holdout/preprocess/PD/ADNI_127_S_1427_MR_Axial_PD_T2_FSE__br_raw_20080905102023852_1_S56225_I117509.nii.gzConfidences: 29.95, 48.61, 21.44
T1        	/home/sam/phinet/data/adni_holdout/preprocess/PD/ADNI_127_S_0754_MR_Axial_PD_T2_FSE__br_raw_20071008105138549_1_S41084_I77107.nii.gzConfidences: 31.98, 40.84, 27.17
T2        	/home/sam/phinet/data/adni_holdout/preprocess/T1/ADNI_072_S_2116_MR_MPRAGE_br_raw_20101027115226149_78_S93781_I199331.nii.gzConfidences:  1.22, 30.43, 68.35
T2        	/home/sam/phinet/data/adni_holdout/preprocess/T1/ADNI_041_S_4989_MR_MPRAGE_br_raw_20121019135519032_133_S171438_I341287.nii.gzConfidences:  0.11, 18.61, 81.28
T2        	/home/sam/phinet/data/adni_holdout/preprocess/T1/ADNI_012_S_0689_MR_MPRAGE_br_raw_20070727165355187_67_S36501_I62543.nii.gzConfidences:  0.39, 48.65, 50.96
T2        	/home/sam/phinet/data/adni_holdout/preprocess/T1/ADNI_073_S_4259_MR_MPRAGE_br_raw_20121210121419802_141_S176943_I350413.nii.gzConfidences:  1.56, 35.13, 63.31
T2        	/home/sam/phinet/data/adni_holdout/preprocess/T1/ADNI_067_S_4184_MR_MPRAGE_br_raw_20110908150619275_63_S121507_I255147.nii.gzConfidences:  0.10, 25.91, 73.99
T1        	/home/sam/phinet/data/adni_holdout/preprocess/PD/ADNI_007_S_0128_MR_Axial_PD_T2_FSE__br_raw_20060118153534820_1_S10940_I10011.nii.gzConfidences: 38.22, 44.93, 16.85
T2        	/home/sam/phinet/data/adni_holdout/preprocess/PD/ADNI_007_S_0128_MR_Axial_PD_T2_FSE__br_raw_20060815202411132_9_S17901_I20614.nii.gzConfidences: 38.51, 21.45, 40.04
PD        	/home/sam/phinet/data/adni_holdout/preprocess/T2/ADNI_007_S_4467_MR_Axial_T2-FSE_with_FAT_SAT__br_raw_20140204101256208_39_S211809_I412525.nii.gzConfidences: 90.98,  0.27,  8.75
T1        	/home/sam/phinet/data/adni_holdout/preprocess/PD/ADNI_033_S_0922_MR_Axial_PD_T2_FSE__br_raw_20071016100212429_81_S41528_I77850.nii.gzConfidences: 15.11, 67.36, 17.53
T2        	/home/sam/phinet/data/adni_holdout/preprocess/PD/ADNI_002_S_1155_MR_Axial_PD_T2_FSE__br_raw_20090313184957981_1_S64558_I138948.nii.gzConfidences: 21.31, 30.64, 48.05
